up_new,Descrizione,B1a,B1b,B2a,B2b,B3a,B3b,B4a,B4b,B5a,B5b,B6a,B6b,B7a,B7b,B8a,B8b,B9a,B9b,B10a,B10b,B11a,B11b,B12a,B12b,B13a,B13b,B14a,B14b,B15a,B15b,B16a,B16b,B17a,B17b,B18a,B18b,B19a,B19b,B20a,B20b,B21a,B21b,B22a,B22b,B23a,B23b,B24a,B24b,B25a,B25b,B26a,B26b,B27a,B27b,B28a,B28b,B29a,B29b,B30a,B30b,B31a,B31b,B32a,B32b,B33a,B33b
1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,35,42.8571428571,35,45.7142857143,50,51.4285714286,20,28.5714285714,60,65.7142857143,20,31.4285714286,40,37.1428571429,0,0,20,25.7142857143,0,0,0,0,0,0,0,0,20,22.8571428571,5,8.5714285714,0,0,0,0,55,54.2857142857,50,62.8571428571,20,22.8571428571,0,0,0,0,35,34.2857142857,90,77.1428571429,65,68.5714285714,10,11.4285714286,10,8.5714285714,25,28.5714285714,45,51.4285714286,100,80,30,28.5714285714,80,77.1428571429,20,22.8571428571
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,38.3333333333,41.9047619048,40,45.7142857143,36.6666666667,46.6666666667,1.6666666667,1.9047619048,18.3333333333,27.619047619,38.3333333333,40,1.6666666667,1.9047619048,0,0,3.3333333333,4.7618761905,0,0,0,0,3.3333333333,5.7142857143,0,0,0,0,1.6666666667,1.9047619048,1.6666666667,1.9047619048,1.6666666667,1.9047619048,18.3333333333,21.9047619048,23.3333333333,23.8095238095,16.6666666667,21.9047619048,3.3333333333,1.9047619048,1.6666666667,1.9047619048,13.3333333333,13.3333333333,55,55.2380952381,43.3333333333,45.7142857143,6.6666666667,5.7142857143,11.6666666667,12.380952381,10,11.4285714286,15,16.1904761905,66.6666666667,63.8095238095,11.6666666667,18.0952380952,46.6666666667,54.2857142857,10,13.3333333333
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,52.5,52.8571428571,41.25,45,46.25,46.4285714286,12.5,14.2857142857,50,44.2857142857,32.5,35,8.75,9.2857142857,0,0,13.75,10.7142857143,1.25,2.1428571429,0,0,2.5,2.1428571429,0,0,16.25,20,0,0,0,0,0,0,42.5,40.7142857143,42.5,42.1428571429,7.5,8.5714285714,0,0,0,0,17.5,20.7142857143,78.75,66.4285714286,43.75,46.4285714286,3.75,4.2857142857,20,20.7142857143,12.5,15.7142857143,41.25,43.5714285714,86.25,67.857,16.25,15,36.25,35,3.75,4.9999571429
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,52.6315789474,52.6315789474,48.6842105263,48.1203007519,43.4210526316,42.8571428571,17.1052631579,18.045112782,56.5789473684,53.3834586466,36.8421052632,38.3458646617,14.4736842105,12.7819548872,3.9473684211,3.7593984962,18.4210526316,19.5488721805,6.5789473684,6.015037594,3.9473684211,4.5112781955,5.2631578947,7.5187744361,2.6315789474,3.007518797,21.0526315789,24.8120300752,5.2631578947,3.7593759398,5.2631578947,4.5112556391,5.2631578947,7.5187969925,48.6842105263,49.6240601504,56.5789473684,57.1428571429,14.4736842105,20.3007518797,1.3157894737,1.5037593985,1.3157894737,1.5037593985,21.0526315789,21.8045112782,84.2105263158,77.4434586466,43.4210526316,46.6165413534,13.1578947368,17.2932330827,31.5789473684,33.8345864662,31.5789473684,36.8421052632,53.9473684211,48.8721804511,86.8421052632,77.4436090226,17.1052631579,17.2932330827,63.1578947368,62.4060150376,11.8421052632,12.7819548872
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed altri dirigenti della carriera diplomatica",78.5714285714,69.387755102,69.6428571429,66.3265306122,55.3571428571,44.8979591837,14.2857142857,18.3673469388,66.0714285714,67.3469387755,83.9285714286,60.2040816327,14.2857142857,14.2857142857,0,0,46.4285714286,30.612244898,0,0,0,0,1.7857142857,2.0408163265,0,0,32.1428571429,30.612244898,1.7857142857,1.0204081633,1.7857142857,1.0204081633,1.7857142857,1.0204081633,58.9285714286,43.8775510204,57.1428571429,56.1224489796,69.6428571429,67.3469387755,0,0,1.7857142857,2.0408163265,37.5,37.7551020408,96.4285714286,77.5510204082,100,86.7346938776,19.6428571429,20.4081632653,60.7142857143,59.1836734694,32.1428571429,39.7959183673,37.5,35.7142857143,75,69.387755102,16.0714285714,15.306122449,69.6428571429,64.2857142857,1.7857142857,2.0408163265
1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",65.2173913043,65.2173913043,75,72.049689441,41.3043478261,43.4782608696,5.4347826087,5.5900621118,35.8695652174,37.8881987578,73.9130434783,73.2919254658,13.0434782609,11.801242236,1.0869565217,1.8633540373,15.2173913043,18.6335403727,3.2608695652,3.7267080745,3.2608695652,4.347826087,2.1739130435,3.1055900621,1.0869565217,1.8633540373,19.5652173913,21.1180124224,3.2608695652,4.9689440994,2.1739130435,4.9689440994,2.1739130435,4.9689440994,33.6956521739,35.4037267081,42.3913043478,40.9937888199,22.8260869565,26.0869565217,2.1739130435,3.7267080745,3.2608695652,4.347826087,31.5217391304,31.6770186335,90.2173913043,82.6086956522,54.347826087,59.6273291925,6.5217391304,9.3167515528,29.347826087,29.1925465839,17.3913043478,21.1180124224,89.1304347826,85.7140372671,97.8260869565,86.3354037267,16.3043478261,15.5279503106,42.3913043478,42.2360248447,22.8260869565,25.4658385093
1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",86.9047619048,64.6257142857,86.9047619048,68.0272108844,51.1904761905,40.8163265306,1.1904761905,1.3605238095,35.7142857143,34.693877551,94.0476190476,71.4285714286,2.380952381,4.0816122449,0,0,71.4285714286,42.8571428571,3.5714285714,3.4013605442,1.1904761905,2.7210884354,1.1904761905,2.7210884354,2.380952381,2.7210884354,35.7142857143,27.8911564626,2.380952381,2.7210884354,1.1904761905,2.7210884354,1.1904761905,2.7210884354,57.1428571429,42.1768707483,42.8571428571,31.9727891156,42.8571428571,42.8571428571,2.380952381,2.7210884354,1.1904761905,2.0408163265,63.0952380952,48.2993197279,97.619047619,71.4285714286,71.4285714286,54.4217687075,1.1904761905,2.7210884354,16.6666666667,14.9659863946,15.4761904762,13.6054421769,98.8095238095,86.3945578231,100,78.231292517,48.8095238095,31.2925170068,66.6666666667,48.2993197279,39.2857142857,29.9319727891
1.1.2.2.3,Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica,63.75,62.8571428571,61.25,59.2857142857,60,60,7.5,8.5714285714,43.75,42.1428571429,71.25,67.1428571429,15,16.4285714286,0,0,26.25,24.2857142857,0,0,1.25,1.4285714286,2.5,2.1428571429,1.25,0.7142857143,17.5,20,1.25,3.5714285714,1.25,4.2857142857,0,0,45,40.7142857143,32.5,35,5,6.42855,1.25,2.1428571429,2.5,2.8571428571,28.75,28.5714285714,85,71.4285714286,41.25,40,1.25,2.8571428571,2.5,2.8571214286,0,0,53.75,43.5714285714,95,80.7142857143,12.5,12.1428571429,35,33.5714285714,7.5,7.8571428571
1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,70,64.2857142857,66.25,60,47.5,48.5714285714,5,5.7142642857,61.25,57.8571428571,77.5,67.8571428571,11.25,11.4285714286,0,0,40,40.7142857143,7.5,7.8571428571,5,7.8571428571,11.25,12.8571428571,3.75,4.2857142857,32.5,39.2857142857,3.75,2.8571428571,2.5,1.4285714286,0,0,55,54.2857142857,48.75,48.5714285714,7.5,10.7142857143,1.25,1.4285714286,6.25,8.5714071429,77.5,69.2857142857,81.25,72.1428571429,52.5,52.1428571429,11.25,12.1428571429,13.75,14.2857142857,15,17.1428571429,45,40.7142857143,78.75,66.4285714286,20,21.4285714286,43.75,43.5714285714,12.5,12.8571428571
1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,70.3125,73.2142857143,73.4375,73.2142857143,59.375,57.1428571429,18.75,22.3214285714,57.8125,47.3214285714,78.125,69.6428571429,32.8125,33.0357142857,1.5625,0.8928571429,35.9375,38.3928571429,28.125,32.1428571429,31.25,33.9285714286,28.125,25.8928571429,10.9375,7.1428571429,46.875,50.8928571429,15.625,17.8571428571,18.75,21.4285714286,23.4375,25.8928571429,34.375,33.0357142857,45.3125,44.6428571429,48.4375,49.1071428571,3.125,4.4642857143,0,0,46.875,48.2142857143,79.6875,71.4285714286,57.8125,55.3571428571,60.9375,56.25,87.5,83.9285714286,29.6875,31.25,67.1875,65.1785714286,85.9375,74.1071428571,23.4375,26.7857142857,43.75,50,7.8125,14.2857142857
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",66.6666666667,66.6666666667,83.3333333333,69.0476190476,58.3333333333,64.2857142857,20.8333333333,23.8095238095,54.1666666667,50,83.3333333333,73.8095238095,8.3333333333,9.5238095238,8.3333333333,7.1428571429,33.3333333333,38.0952380952,0,0,0,0,8.3333333333,7.1428571429,0,0,33.3333333333,35.7142857143,8.3333333333,9.5238095238,8.3333333333,9.5238095238,4.1666666667,4.7619047619,54.1666666667,54.7619047619,37.5,45.2380952381,0,0,12.5,7.1428571429,12.5,11.9047619048,45.8333333333,59.5238095238,100,78.5714285714,66.6666666667,69.0476190476,0,0,0,0,12.5,11.9047619048,29.1666666667,33.3333333333,95.8333333333,83.3333333333,12.5,11.9047619048,41.6666666667,47.619047619,4.1666666667,7.1428571429
1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",76.3888888889,73.8095238095,52.7777777778,47.619047619,61.1111111111,53.9682539683,33.3333333333,38.0952380952,68.0555555556,66.6666666667,77.7777777778,76.9841269841,13.8888888889,15.873015873,0,0,30.5555555556,27.7777777778,5.5555555556,7.1428333333,8.3333333333,12.6984126984,8.3333333333,11.9047619048,2.7777777778,3.9682539683,30.5555555556,38.0952380952,2.7777777778,3.9682539683,2.7777777778,3.9682539683,2.7777777778,3.9682539683,55.5555555556,53.9682539683,52.7777777778,57.1428571429,16.6666666667,16.6666666667,1.3888888889,2.380952381,2.7777777778,3.9682539683,86.1111111111,80.9523809524,91.6666666667,84.9206349206,80.5555555556,80.1587301587,22.2222222222,21.4285714286,33.3333333333,35.7142857143,30.5555555556,34.126984127,29.1666666667,29.3650793651,70.8333333333,57.9365079365,12.5,13.4920634921,62.5,59.5238095238,1.3888888889,1.5872777778
1.1.2.4.3,Direttori generali ed equiparati nella sanità,83.8235294118,83.1932773109,42.6470588235,49.5798319328,55.8823529412,55.4621848739,17.6470588235,15.9663865546,64.7058823529,61.3445378151,70.5882352941,65.5462184874,32.3529411765,31.0924369748,2.9411764706,3.3613445378,16.1764705882,19.3277310924,7.3529411765,8.4033613445,1.4705882353,2.5210084034,4.4117647059,6.7226638655,0,0,25,28.5714285714,2.9411764706,3.3613445378,5.8823529412,6.7226638655,13.2352941176,16.8067226891,30.8823529412,33.6134453782,33.8235294118,33.6134453782,0,0,51.4705882353,47.8991596639,5.8823529412,7.563,38.2352941176,42.0168067227,70.5882352941,66.3865546218,44.1176470588,42.8571428571,0,0,0,0,0,0,48.5294117647,41.1764705882,80.8823529412,64.7058823529,7.3529411765,8.4033613445,32.3529411765,29.4117647059,5.8823529412,5.8823277311
