up_new,Descrizione,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,75,75,90,85,75,80,35,55,60,55,70,65,65,80,85,50,75,0,80,100,80
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,76.6666666667,81.6666666667,86.6666666667,55,78.3333333333,88.3333333333,33.3333333333,78.3333333333,76.6666666667,76.6666666667,78.3333333333,76.6666666667,70,85,90,86.6666666667,60,56.6666666667,78.3333333333,63.3333333333,65
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,80,78.75,88.75,51.25,86.25,77.5,32.5,63.75,53.75,56.25,78.75,67.5,68.75,87.5,83.75,73.4375,62.5,56.25,78.75,64.0625,72.5
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,82.8947368421,75,85.5263157895,39.4736842105,71.0526315789,30.2631578947,7.8947368421,50,53.9473684211,47.3684210526,77.6315789474,64.4736842105,60.5263157895,92.1052631579,90.7894736842,80,56.6666666667,53.3333333333,80.2631578947,60,61.8421052632
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed altri dirigenti della carriera diplomatica",89.2857142857,87.5,94.6428571429,44.6428571429,87.5,78.5714285714,89.2857142857,89.2857142857,85.7142857143,73.2142857143,91.0714285714,78.5714285714,75,85.7142857143,87.5,76.7857142857,76.7857142857,76.7857142857,76.7857142857,64.2857142857,64.2857142857
1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",81.5217391304,88.0434782609,93.4782608696,56.5217391304,86.9565217391,71.7391304348,90.2173913043,86.9565217391,77.1739130435,77.1739130435,93.4782608696,92.3913043478,77.1739130435,92.3913043478,90.2173913043,82.6086956522,85.8695652174,69.5652173913,69.5652173913,65.2173913043,73.9130434783
1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",90.4761904762,91.6666666667,97.619047619,48.8095238095,79.7619047619,65.4761904762,98.8095238095,91.6666666667,85.7142857143,84.5238095238,100,90.4761904762,88.0952380952,97.619047619,90.4761904762,88.0952380952,82.1428571429,78.5714285714,78.5714285714,83.3333333333,89.2857142857
1.1.2.2.3,Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica,82.5,80,91.25,65,88.75,77.5,51.25,62.5,61.25,65,90,80,67.5,90,87.5,76.25,67.5,56.25,71.25,67.5,77.5
1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,86.25,82.5,95,58.75,85,61.25,80,68.75,58.75,65,87.5,80,75,87.5,82.5,67.5,68.75,61.25,73.75,72.5,73.75
1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,81.25,75,85.9375,60.9375,85.9375,53.125,82.8125,68.75,53.125,53.125,89.0625,78.125,78.125,84.375,84.375,59.375,65.625,51.5625,75,67.1875,82.8125
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",75,87.5,95.8333333333,58.3333333333,79.1666666667,75,75,66.6666666667,58.3333333333,62.5,87.5,79.1666666667,70.8333333333,83.3333333333,87.5,79.1666666667,54.1666666667,41.6666666667,70.8333333333,62.5,66.6666666667
1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",93.0555555556,75,94.4444444444,47.2222222222,88.8888888889,73.6111111111,80.5555555556,81.9444444444,31.9444444444,69.4444444444,93.0555555556,86.1111111111,73.6111111111,91.6666666667,93.0555555556,80.8823529412,64.7058823529,48.5294117647,90.2777777778,86.7647058824,86.1111111111
1.1.2.4.3,Direttori generali ed equiparati nella sanità,88.2352941176,82.3529411765,94.1176470588,57.3529411765,86.7647058824,57.3529411765,51.4705882353,64.7058823529,54.4117647059,57.3529411765,92.6470588235,76.4705882353,69.1176470588,85.2941176471,83.8235294118,73.4375,62.5,54.6875,66.1764705882,70.3125,83.8235294118
1.1.2.5.0,Dirigenti scolastici ed equiparati,85.4166666667,78.125,86.4583333333,41.6666666667,81.25,45.8333333333,58.3333333333,79.1666666667,31.25,63.5416666667,93.75,78.125,75,92.7083333333,89.5833333333,75,54.5454545455,53.4090909091,80.2083333333,72.7272727273,75
1.1.2.6.1,"Dirigenti ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",79.4117647059,69.1176470588,89.7058823529,66.1764705882,85.2941176471,45.5882352941,76.4705882353,60.2941176471,45.5882352941,44.1176470588,91.1764705882,73.5294117647,67.6470588235,79.4117647059,79.4117647059,58.8235294118,52.9411764706,47.0588235294,66.1764705882,69.1176470588,66.1764705882
1.1.2.6.2,Dirigenti ed equiparati delle università e degli enti di ricerca,85.5263157895,84.2105263158,90.7894736842,52.6315789474,88.1578947368,63.1578947368,75,81.5789473684,63.1578947368,71.0526315789,89.4736842105,75,76.3157894737,88.1578947368,85.5263157895,75,69.7368421053,55.2631578947,80.2631578947,76.3157894737,81.5789473684
1.1.2.6.3,Dirigenti ed equiparati nella sanità,82,76,91,50,79,57,73,76,65,58,88,77,76,85,88,74,71,59,65,74,78
1.1.3.1.0,Dirigenti della magistratura ordinaria,85.2941176471,88.2352941176,92.6470588235,67.6470588235,79.4117647059,85.2941176471,92.6470588235,77.9411764706,80.8823529412,70.5882352941,85.2941176471,82.3529411765,83.8235294118,80.8823529412,91.1764705882,80,75,66.6666666667,72.0588235294,78.3333333333,85.2941176471
1.1.3.2.0,Dirigenti della magistratura amministrativa e delle giurisdizioni speciali,84.2105263158,81.5789473684,89.4736842105,69.7368421053,78.9473684211,82.8947368421,92.1052631579,88.1578947368,57.8947368421,72.3684210526,88.1578947368,81.5789473684,76.3157894737,81.5789473684,88.1578947368,75,58.3333333333,54.1666666667,65.7894736842,76.3888888889,69.7368421053
1.1.4.1.1,Dirigenti di partiti e movimenti politici,78.9473684211,72.3684210526,77.6315789474,65.7894736842,71.0526315789,43.4210526316,34.2105263158,71.0526315789,60.5263157895,63.1578947368,78.9473684211,72.3684210526,76.3157894737,85.5263157895,85.5263157895,76.9230769231,71.1538461538,57.6923076923,77.6315789474,69.2307692308,65.7894736842
1.1.4.1.2,Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali,86.25,83.75,92.5,72.5,82.5,51.25,53.75,75,70,76.25,90,81.25,77.5,91.25,90,92.8571428571,91.0714285714,76.7857142857,90,83.9285714286,83.75
1.1.4.2.0,"Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale",84.2105263158,86.8421052632,93.4210526316,55.2631578947,85.5263157895,47.3684210526,47.3684210526,76.3157894737,39.4736842105,65.7894736842,88.1578947368,75,73.6842105263,90.7894736842,90.7894736842,79.6875,78.125,54.6875,80.2631578947,73.4375,76.3157894737
1.2.1.1.0,"Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",76.3157894737,78.9473684211,85.5263157895,61.8421052632,81.5789473684,52.6315789474,65.7894736842,77.6315789474,46.0526315789,65.7894736842,84.2105263158,65.7894736842,72.3684210526,72.3684210526,84.2105263158,75,75,58.3333333333,80.2631578947,75,81.5789473684
1.2.1.2.0,"Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti",77.5,82.5,93.75,62.5,77.5,68.75,53.75,75,45,70,92.5,85,77.5,73.75,81.25,81.25,81.25,75,80,50,85
1.2.1.3.0,Imprenditori e amministratori di grandi aziende di costruzioni,82.1428571429,79.7619047619,92.8571428571,58.3333333333,80.9523809524,66.6666666667,44.0476190476,66.6666666667,59.5238095238,63.0952380952,88.0952380952,79.7619047619,65.4761904762,76.1904761905,82.1428571429,75,58.3333333333,50,79.7619047619,66.6666666667,84.5238095238
1.2.1.4.0,Imprenditori e amministratori di grandi aziende nel commercio,78.9473684211,78.9473684211,82.8947368421,55.2631578947,60.5263157895,61.8421052632,51.3157894737,65.7894736842,44.7368421053,57.8947368421,80.2631578947,68.4210526316,71.0526315789,78.9473684211,78.9473684211,77.5,70,65,67.1052631579,65,76.3157894737
1.2.1.5.0,Imprenditori e amministratori di grandi aziende nei servizi di alloggio e ristorazione,88.1578947368,85.5263157895,90.7894736842,48.6842105263,85.5263157895,68.4210526316,63.1578947368,80.2631578947,59.2105263158,65.7894736842,89.4736842105,81.5789473684,75,84.2105263158,81.5789473684,85,65,65,84.2105263158,70,84.2105263158
1.2.1.6.1,Imprenditori e amministratori di grandi aziende nel settore dei trasporti e magazzinaggio,80,72.5,86.25,61.25,78.75,52.5,38.75,67.5,45,62.5,90,76.25,66.25,80,76.25,77.7777777778,72.2222222222,55.5555555556,77.5,50,81.25
1.2.1.6.2,"Imprenditori e amministratori di grandi aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva",88.75,86.25,90,55,82.5,81.25,52.5,85,42.5,78.75,95,86.25,76.25,82.5,87.5,81.8181818182,68.1818181818,61.3636363636,82.5,86.3636363636,86.25
1.2.1.6.3,Imprenditori e amministratori di grandi aziende nei servizi informatici e di telecomunicazione,81.6666666667,80,86.6666666667,68.3333333333,73.3333333333,70,40,71.6666666667,51.6666666667,70,85,73.3333333333,68.3333333333,78.3333333333,78.3333333333,79.1666666667,79.1666666667,58.3333333333,80,79.1666666667,90
1.2.1.7.0,"Imprenditori e amministratori di grandi banche, assicurazioni, agenzie immobiliari, di intermediazione finanziaria",84.5238095238,86.9047619048,92.8571428571,48.8095238095,86.9047619048,83.3333333333,50,80.9523809524,47.619047619,73.8095238095,94.0476190476,80.9523809524,73.8095238095,82.1428571429,80.9523809524,83.9285714286,66.0714285714,67.8571428571,72.619047619,75,80.9523809524
1.2.1.8.0,Imprenditori e amministratori di grandi aziende nei servizi alle imprese e alle persone,85,80,91.6666666667,56.6666666667,83.3333333333,75,36.6666666667,78.3333333333,48.3333333333,78.3333333333,85,86.6666666667,75,70,80,86.1111111111,69.4444444444,50,75,83.3333333333,78.3333333333
1.2.1.9.1,"Imprenditori e amministratori di grandi istituti scolastici, universitari e di ricerca privati",88.3333333333,90,98.3333333333,58.3333333333,86.6666666667,61.6666666667,51.6666666667,88.3333333333,45,76.6666666667,83.3333333333,83.3333333333,80,90,93.3333333333,91.6666666667,72.9166666667,58.3333333333,86.6666666667,66.6666666667,81.6666666667
1.2.1.9.2,"Imprenditori e amministratori di grandi ospedali, cliniche private o grandi aziende di assistenza sociale",82.1428571429,79.7619047619,83.3333333333,54.7619047619,70.2380952381,52.380952381,52.380952381,78.5714285714,39.2857142857,72.619047619,84.5238095238,82.1428571429,75,88.0952380952,86.9047619048,85,73.3333333333,68.3333333333,75,73.3333333333,76.1904761905
