up_new,Descrizione,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,85,85,85,80,75,65,65,80,85,90,85,60,95,65,70,60
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,75,73.3333333333,75,71.6666666667,76.6666666667,70,70,81.6666666667,78.3333333333,78.3333333333,78.3333333333,76.6666666667,86.6666666667,58.3333333333,61.6666666667,75
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,76.25,86.25,86.25,93.75,83.75,80,75,93.75,88.75,80,88.75,85,88.75,73.75,72.5,80
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,82.8947368421,93.4210526316,88.1578947368,90.7894736842,82.8947368421,72.3684210526,71.0526315789,90.7894736842,89.4736842105,81.5789473684,93.4210526316,81.5789473684,98.6842105263,61.8421052632,69.7368421053,77.6315789474
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed altri dirigenti della carriera diplomatica",92.8571428571,96.4285714286,94.6428571429,94.6428571429,96.4285714286,75,82.1428571429,96.4285714286,96.4285714286,94.6428571429,98.2142857143,89.2857142857,94.6428571429,67.8571428571,75,96.4285714286
1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",91.3043478261,84.7826086957,83.6956521739,88.0434782609,86.9565217391,83.6956521739,83.6956521739,90.2173913043,86.9565217391,79.347826087,88.0434782609,80.4347826087,93.4782608696,66.3043478261,68.4782608696,84.7826086957
1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",98.8095238095,100,100,97.619047619,96.4285714286,90.4761904762,92.8571428571,97.619047619,96.4285714286,94.0476190476,92.8571428571,91.6666666667,95.2380952381,77.380952381,65.4761904762,97.619047619
1.1.2.2.3,Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica,83.75,85,87.5,85,83.75,80,76.25,85,88.75,83.75,91.25,83.75,91.25,81.25,67.5,80
1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,91.25,85,86.25,87.5,85,78.75,75,91.25,85,82.5,88.75,85,92.5,73.75,68.75,81.25
1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,92.1875,90.625,89.0625,93.75,89.0625,76.5625,84.375,84.375,78.125,78.125,92.1875,79.6875,92.1875,79.6875,71.875,84.375
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",91.6666666667,83.3333333333,87.5,95.8333333333,87.5,83.3333333333,83.3333333333,91.6666666667,91.6666666667,91.6666666667,95.8333333333,79.1666666667,100,79.1666666667,79.1666666667,83.3333333333
1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",93.0555555556,93.0555555556,100,97.2222222222,91.6666666667,84.7222222222,79.1666666667,97.2222222222,97.2222222222,95.8333333333,95.8333333333,90.2777777778,95.8333333333,88.8888888889,90.2777777778,90.2777777778
1.1.2.4.3,Direttori generali ed equiparati nella sanità,83.8235294118,88.2352941176,88.2352941176,92.6470588235,82.3529411765,72.0588235294,72.0588235294,89.7058823529,85.2941176471,80.8823529412,89.7058823529,69.1176470588,85.2941176471,67.6470588235,72.0588235294,80.8823529412
1.1.2.5.0,Dirigenti scolastici ed equiparati,86.4583333333,77.0833333333,88.5416666667,90.625,90.625,87.5,83.3333333333,88.5416666667,86.4583333333,81.25,93.75,80.2083333333,91.6666666667,64.5833333333,81.25,84.375
1.1.2.6.1,"Dirigenti ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",83.8235294118,82.3529411765,80.8823529412,89.7058823529,86.7647058824,76.4705882353,77.9411764706,88.2352941176,82.3529411765,83.8235294118,89.7058823529,76.4705882353,86.7647058824,70.5882352941,72.0588235294,76.4705882353
1.1.2.6.2,Dirigenti ed equiparati delle università e degli enti di ricerca,89.4736842105,82.8947368421,80.2631578947,85.5263157895,85.5263157895,71.0526315789,78.9473684211,78.9473684211,84.2105263158,75,89.4736842105,80.2631578947,94.7368421053,72.3684210526,81.5789473684,84.2105263158
1.1.2.6.3,Dirigenti ed equiparati nella sanità,78,81,83,83,84,78,78,83,86,79,88,73,88,71,67,79
1.1.3.1.0,Dirigenti della magistratura ordinaria,88.2352941176,85.2941176471,82.3529411765,79.4117647059,80.8823529412,77.9411764706,73.5294117647,85.2941176471,86.7647058824,83.8235294118,91.1764705882,85.2941176471,92.6470588235,82.3529411765,63.2352941176,82.3529411765
1.1.3.2.0,Dirigenti della magistratura amministrativa e delle giurisdizioni speciali,78.9473684211,76.3157894737,80.2631578947,85.5263157895,75,67.1052631579,64.4736842105,81.5789473684,82.8947368421,73.6842105263,86.8421052632,82.8947368421,92.1052631579,77.6315789474,64.4736842105,82.8947368421
1.1.4.1.1,Dirigenti di partiti e movimenti politici,80.2631578947,84.2105263158,84.2105263158,80.2631578947,80.2631578947,84.2105263158,73.6842105263,77.6315789474,81.5789473684,73.6842105263,84.2105263158,67.1052631579,93.4210526316,68.4210526316,65.7894736842,69.7368421053
1.1.4.1.2,Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali,85,81.25,86.25,83.75,85,81.25,77.5,83.75,83.75,82.5,92.5,83.75,90,77.5,78.75,83.75
1.1.4.2.0,"Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale",78.9473684211,84.2105263158,81.5789473684,78.9473684211,84.2105263158,76.3157894737,77.6315789474,82.8947368421,84.2105263158,80.2631578947,86.8421052632,75,86.8421052632,64.4736842105,73.6842105263,78.9473684211
1.2.1.1.0,"Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",84.2105263158,76.3157894737,81.5789473684,68.4210526316,68.4210526316,59.2105263158,63.1578947368,72.3684210526,73.6842105263,71.0526315789,81.5789473684,69.7368421053,71.0526315789,59.2105263158,73.6842105263,73.6842105263
1.2.1.2.0,"Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti",83.75,80,91.25,87.5,73.75,63.75,68.75,80,83.75,72.5,80,76.25,72.5,66.25,86.25,78.75
1.2.1.3.0,Imprenditori e amministratori di grandi aziende di costruzioni,80.9523809524,84.5238095238,89.2857142857,89.2857142857,72.619047619,51.1904761905,66.6666666667,78.5714285714,82.1428571429,73.8095238095,84.5238095238,79.7619047619,83.3333333333,65.4761904762,59.5238095238,77.380952381
1.2.1.4.0,Imprenditori e amministratori di grandi aziende nel commercio,77.6315789474,78.9473684211,93.4210526316,85.5263157895,81.5789473684,76.3157894737,65.7894736842,88.1578947368,90.7894736842,86.8421052632,86.8421052632,76.3157894737,88.1578947368,72.3684210526,71.0526315789,76.3157894737
