"1";"B1a";"Gestione di impresa";"Conoscenza dei principi e dei fatti correlati alla gestione, all'organizzazione burocratica e alla contabilit&agrave; di impresa; alla vendita e alla commercializzazione dei prodotti; alla cura e alla fornitura di servizi a clienti o a persone e alla valutazione della loro qualit&agrave;"
"2";"B2a";"Processo di produzione";"Conoscenza di principi e fatti connessi alla produzione, alla trasformazione, allo stoccaggio e alla distribuzione dei prodotti agricoli e manifatturieri"
"3";"B3a";"Ingegneria e tecnologia";"Conoscenza dei principi e dei fatti relativi all'uso, alla progettazione, al disegno e all'applicazione delle tecnologie per scopi specifici"
"4";"B4a";"Matematica e scienze";"Conoscenza dei metodi, delle teorie e delle applicazioni delle scienze matematiche, fisiche, chimiche, biologiche, sociali, psicologiche e geografiche"
"5";"B5a";"Salute e servizi alla persona";"Conoscenza dei principi e dei fatti inerenti la diagnosi, la cura e la prevenzione delle malattie e il mantenimento e miglioramento della salute fisica e mentale"
"6";"B6a";"Istruzione e formazione";"Conoscenza in materia di metodi per la definizione dei curricula e dei percorsi formativi, per l'insegnamento e per la misurazione degli esiti formativi"
"7";"B7a";"Scienze umanistiche";"Conoscenza dei principi e dei fatti nel campo storico, linguistico, della produzione artistica e del pensiero"
"8";"B8a";"Legislazione e pubblica sicurezza";"Conoscenza di leggi, norme e i regolamenti per mantenere e salvaguardare la convivenza sociale e per tutelare i beni e la propriet&agrave;"
"9";"B9a";"Comunicazione";"Conoscenza dei principi, dei fatti e delle tecniche concernenti la veicolazione dell'informazione anche attraverso l'utilizzo delle tlc e le modalit&agrave; di trasporto di persone e cose"
"10";"B1b";"Gestione di impresa";"Conoscenza dei principi e dei fatti correlati alla gestione, all'organizzazione burocratica e alla contabilit&agrave; di impresa; alla vendita e alla commercializzazione dei prodotti; alla cura e alla fornitura di servizi a clienti o a persone e alla valutazione della loro qualit&agrave;"
"11";"B2b";"Processo di produzione";"Conoscenza di principi e fatti connessi alla produzione, alla trasformazione, allo stoccaggio e alla distribuzione dei prodotti agricoli e manifatturieri"
"12";"B3b";"Ingegneria e tecnologia";"Conoscenza dei principi e dei fatti relativi all'uso, alla progettazione, al disegno e all'applicazione delle tecnologie per scopi specifici"
"13";"B4b";"Matematica e scienze";"Conoscenza dei metodi, delle teorie e delle applicazioni delle scienze matematiche, fisiche, chimiche, biologiche, sociali, psicologiche e geografiche"
"14";"B5b";"Salute e servizi alla persona";"Conoscenza dei principi e dei fatti inerenti la diagnosi, la cura e la prevenzione delle malattie e il mantenimento e miglioramento della salute fisica e mentale"
"15";"B6b";"Istruzione e formazione";"Conoscenza in materia di metodi per la definizione dei curricula e dei percorsi formativi, per l'insegnamento e per la misurazione degli esiti formativi"
"16";"B7b";"Scienze umanistiche";"Conoscenza dei principi e dei fatti nel campo storico, linguistico, della produzione artistica e del pensiero"
"17";"B8b";"Legislazione e pubblica sicurezza";"Conoscenza di leggi, norme e i regolamenti per mantenere e salvaguardare la convivenza sociale e per tutelare i beni e la propriet&agrave;"
"18";"B9b";"Comunicazione";"Conoscenza dei principi, dei fatti e delle tecniche concernenti la veicolazione dell'informazione anche attraverso l'utilizzo delle tlc e le modalit&agrave; di trasporto di persone e cose"
"19";"C1a";"Skill relative al linguaggio alfa-numerico";"Processi di base che consentono di padroneggiare i  linguaggi (naturali e scientifici) e la comunicazione"
"20";"C2a";"Skill cognitive";"Modalit&agrave; di riflettere, di acquisire e di controllare le informazioni fondamentali per imparare ad apprendere e a far fronte ai cambiamenti e alle innovazioni"
"21";"C3a";"Skill relazionali";"Interazioni che sul lavoro si stabiliscono con gli altri, sia colleghi che destinatari dell'attivit&agrave; lavorativa. Percezione delle reazioni degli altri e delle condizioni che le producono. Capacit&agrave; di adattare le risposte a tali reazioni in termini di persuasione, negoziazione. Capacit&agrave; di  trasferimento delle informazioni e di  individuazione delle modalit&agrave; per soddisfare le esigenze altrui"
"22";"C4a";"Problem solving";"Processi cognitivi che consentono di affrontare e risolvere i problemi sul lavoro attraverso procedure che comportano la loro identificazione, la ricognizione dell'informazione necessaria a precisare i termini in cui si pongono e l'individuazione e  valutazione di congruit&agrave; delle possibili soluzioni"
"23";"C5a";"Skill tecniche per la progettazione, gestione e monitoraggio dei processi";"Processi cognitivi attivati quando si lavora con le macchine e con le tecnologie per  progettare prodotti analizzando i bisogni che dovranno soddisfare e i relativi requisiti; per realizzare o adattare attrezzature e tecnologie alle esigenze degli utenti; per programmare software; per monitorare macchine e strumentazioni; per controllare l'operativit&agrave; di attrezzature e sistemi; per manutenere e riparare; per risolvere problemi imprevisti"
"24";"C6a";"Skill relative all'analisi e al controllo dei sistemi";"Processi cognitivi utilizzati per: capire, controllare e migliorare i sistemi socio-tecnici  in termini di valutazione dei costi e dei benefici di possibili azioni;  individuare l'azione pi&ugrave; appropriata agli obiettivi perseguiti;  determinare i modi con cui un sistema dovrebbe funzionare e di come eventuali cambiamenti provenienti dall'esterno o dall'interno potrebbero modificare i risultati delle attivit&agrave;"
"25";"C7a";"Skill relative alla gestione delle risorse uname e materiali";"Processi cognitivi attivati per: gestire efficacemente le risorse disponibili in termini di allocazione e gestione del tempo; detrminare e contabilizzare le risorse finanziarie necessarie ad eseguire un lavoro; individuare e acquisire le attrezzature e i materiali pi&ugrave; appropriati per svolgere il lavoro;  selezionare, motivare e dirigere il personale"
"26";"C1b";"Skill relative al linguaggio alfa-numerico";"Processi di base che consentono di padroneggiare i  linguaggi (naturali e scientifici) e la comunicazione"
"27";"C2b";"Skill cognitive";"Modalit&agrave; di riflettere, di acquisire e di controllare le informazioni fondamentali per imparare ad apprendere e a far fronte ai cambiamenti e alle innovazioni"
"28";"C3b";"Skill relazionali";"Interazioni che sul lavoro si stabiliscono con gli altri, sia colleghi che destinatari dell'attivit&agrave; lavorativa. Percezione delle reazioni degli altri e delle condizioni che le producono. Capacit&agrave; di adattare le risposte a tali reazioni in termini di persuasione, negoziazione. Capacit&agrave; di  trasferimento delle informazioni e di  individuazione delle modalit&agrave; per soddisfare le esigenze altrui"
"29";"C4b";"Problem solving";"Processi cognitivi che consentono di affrontare e risolvere i problemi sul lavoro attraverso procedure che comportano la loro identificazione, la ricognizione dell'informazione necessaria a precisare i termini in cui si pongono e l'individuazione e  valutazione di congruit&agrave; delle possibili soluzioni"
"30";"C5b";"Skill tecniche per la progettazione, gestione e monitoraggio dei processi";"Processi cognitivi attivati quando si lavora con le macchine e con le tecnologie per  progettare prodotti analizzando i bisogni che dovranno soddisfare e i relativi requisiti; per realizzare o adattare attrezzature e tecnologie alle esigenze degli utenti; per programmare software; per monitorare macchine e strumentazioni; per controllare l'operativit&agrave; di attrezzature e sistemi; per manutenere e riparare; per risolvere problemi imprevisti"
"31";"C6b";"Skill relative all'analisi e al controllo dei sistemi";"Processi cognitivi utilizzati per: capire, controllare e migliorare i sistemi socio-tecnici  in termini di valutazione dei costi e dei benefici di possibili azioni;  individuare l'azione pi&ugrave; appropriata agli obiettivi perseguiti;  determinare i modi con cui un sistema dovrebbe funzionare e di come eventuali cambiamenti provenienti dall'esterno o dall'interno potrebbero modificare i risultati delle attivit&agrave;"
"32";"C7b";"Skill relative alla gestione delle risorse uname e materiali";"Processi cognitivi attivati per: gestire efficacemente le risorse disponibili in termini di allocazione e gestione del tempo; detrminare e contabilizzare le risorse finanziarie necessarie ad eseguire un lavoro; individuare e acquisire le attrezzature e i materiali pi&ugrave; appropriati per svolgere il lavoro;  selezionare, motivare e dirigere il personale"
"33";"D1a";"Attitudini/abilit&agrave; cognitive";"Capacit&agrave; di capire, di esprimersi, di ragionare, di produrre idee,  con cui l'individuo affronta compiti e problemi connessi alle specifiche attivit&agrave; lavorative. Sono in genere acquisite attraverso il processo complessivo di formazione intellettuale "
"34";"D2a";"Attitudini/abilit&agrave; psicomotorie";"Capacit&agrave; di controllo, di coordinamento e di reazione del corpo e la destrezza con cui tali capacit&agrave; vengono richieste nello svolgimento del lavoro"
"35";"D3a";"Attitudini/abilit&agrave; fisiche";"Esprimono la  fisicit&agrave; (la forza, la resistenza, la dinamicit&agrave; e l'agilit&agrave; muscolo-scheletrica) necessaria per svolgere le attivit&agrave; richieste dalla professione"
"36";"D4a";"Attitudini/abilit&agrave; sensoriali";"Individuano, sempre dal lato della fisicit&agrave;"
"37";"D1b";"Attitudini/abilit&agrave; cognitive";"Capacit&agrave; di capire, di esprimersi, di ragionare, di produrre idee,  con cui l'individuo affronta compiti e problemi connessi alle specifiche attivit&agrave; lavorative. Sono in genere acquisite attraverso il processo complessivo di formazione intellettuale "
"38";"D2b";"Attitudini/abilit&agrave; psicomotorie";"Capacit&agrave; di controllo, di coordinamento e di reazione del corpo e la destrezza con cui tali capacit&agrave; vengono richieste nello svolgimento del lavoro"
"39";"D3b";"Attitudini/abilit&agrave; fisiche";"Esprimono la  fisicit&agrave; (la forza, la resistenza, la dinamicit&agrave; e l'agilit&agrave; muscolo-scheletrica) necessaria per svolgere le attivit&agrave; richieste dalla professione"
"40";"D4b";"Attitudini/abilit&agrave; sensoriali";"Individuano, sempre dal lato della fisicit&agrave;"
"41";"E1";"Conseguimento dei risultati";"Caratterizza le  professioni orientate al risultato e che consentono di applicare pienamente le proprie competenze e abilit&agrave;"
"42";"E2";"Situazione di lavoro";"Caratterizza le professioni che offrono condizioni di lavoro vario, ben pagato, sicuro e che tiene impegnati tutto il tempo. Che consente di lavorare da soli e che si svolge in situazioni ambientali ottimali"
"43";"E3";"Riconoscimento ";"Segna il tratto  delle professioni che garantiscono opportunit&agrave; di carriera, leadership, riconoscimenti e  status sociale "
"44";"E4";"Relazioni";"Caratterizza le professioni in cui prevalgono gli aspetti sociali del lavoro: lavorare in collaborazione e in ambienti non competitivi; il non essere costretti a fare cose che vanno contro i propri principi; il fare le cose per altre persone"
"45";"E5";"Supporto dell'oganizzazione";"Caratterizza le  professioni esercitate in ambienti in cui &egrave; forte il ruolo di supporto dell'organizzazione, importante per chi attribuisce valore all'essere sostenuto, protetto e ben addestrato dai propri supervisori"
"46";"E6";"Autonomia";"Caratterizza le professioni che consentono libert&agrave; di azione nello svolgimento del lavoro; possibilit&agrave; di dar corso alle proprie idee, prendere decisioni e pianificare le proprie attivit&agrave; senza o con pochi controlli"
"47";"F1";"Orientamento al risultato";"Specifica le modalit&agrave; di comportamento e di impegno personale finalizzati al conseguimento degli obiettivi  richiesti dall'attivit&agrave; lavorativa; la perseveranza necessaria per fronteggiare gli ostacoli, l'assunzione di  responsabilit&agrave; nel raccogliere le sfide che l'attivit&agrave; lavorativa comporta"
"48";"F2";"Leadership";"Specifica l'esercizio di influenza sugli altri, l'attitudine ad essere autorevole, la disponibilit&agrave; a guidare, a farsi carico dei problemi e a fornire opinioni e consigli ad altre persone all'interno dell'organizzazione"
"49";"F3";"Orientamento alle relazioni";"Specifica l'affabilit&agrave; nelle relazioni sociali; la sensibilit&agrave; ai bisogni degli altri; la capacit&agrave; di convincere gli altri a lavorare insieme e la cura dei rapporti personali sul lavoro"
"50";"F4";"Adattabilit&agrave;";"Specifica le modalit&agrave; di adattamento emotivo richieste dal lavoro in termini di controllo delle proprie emozioni in situazioni di difficolt&agrave;"
"51";"F5";"Coscenziosit&agrave;";"Specifica  l'affidabilit&agrave;"
"52";"F6";"Indipendenza";"Specifica la capacit&agrave; di affrontare il proprio lavoro seguendo strategie individuali,; di organizzarsi senza o con una limitata supervisione; far affidamento soprattutto su se stessi nello svolgimento dell'attivit&agrave; lavorativa"
"53";"F7";"Intelligenza pratica";"Specifica la creativit&agrave;"
"54";"G1a";"Cercare/ricevere informazioni riferite al lavoro";"Attivit&agrave; lavorative che consentono di individuare e acquisire  l'informazione utile allo svolgimento del lavoro"
"55";"G2a";"Identificare/valutare informazioni rilevanti per il lavoro";"Attivit&agrave; lavorative che consentono di identificare, selezionare e valutare le informazioni rilevanti per lo svolgimento del lavoro"
"56";"G3a";"Processare dati e informazioni";"Attivit&agrave; lavorative che implicano l'attivazione di processi di trattamento dell'informazione"
"57";"G4a";"Decision making";"Attivit&agrave; lavorative che implicano l'attivazione di modalit&agrave; di pensiero finalizzate al trattamento dell'informazione"
"58";"G5a";"Lavoro fisico e manuale";"Risultati del lavoro ottenuti utilizzando principalmente manualit&agrave; e forza fisica"
"59";"G6a";"Lavoro tecnico e complesso";"Risultati scaturiti da attivit&agrave; di lavoro caratterizzate da componenti tecniche e da significativi livelli complessit&agrave; "
"60";"G7a";"Comunicazione/interazione";"Attivit&agrave; lavorative caratterizzate da una significativa componente di comunicazione e interazione con altre persone"
"61";"G8a";"Coordinare/sviluppare/gestire/consigliare";"Attivit&agrave; lavorative caratterizzate da significativi aspetti di coordinamento, di gestione e di organizzazione del lavoro con il coinvolgimento di altre persone"
"62";"G9a";"Amministrazione";"Attivit&agrave; lavorative caratterizzate da significativi aspetti di gestione  amministrativa  e del personale"
"63";"G1b";"Cercare/ricevere informazioni riferite al lavoro";"Attivit&agrave; lavorative che consentono di individuare e acquisire  l'informazione utile allo svolgimento del lavoro"
"64";"G2b";"Identificare/valutare informazioni rilevanti per il lavoro";"Attivit&agrave; lavorative che consentono di identificare, selezionare e valutare le informazioni rilevanti per lo svolgimento del lavoro"
"65";"G3b";"Processare dati e informazioni";"Attivit&agrave; lavorative che implicano l'attivazione di processi di trattamento dell'informazione"
"66";"G4b";"Decision making";"Attivit&agrave; lavorative che implicano l'attivazione di modalit&agrave; di pensiero finalizzate al trattamento dell'informazione"
