Value,IdRegione,DsRegione,IdGruppoDiProfessioni,DsGruppoDiProfessioni
 10.0,1,PIEMONTE - VALLE D'AOSTA,1222,Direttori e dirigenti industria in senso stretto e nelle P.U.
 10.0,1,PIEMONTE - VALLE D'AOSTA,1224,Dirigenti generali di aziende nel commercio
 0.0,1,PIEMONTE - VALLE D'AOSTA,1225,Direttori e dirigenti nei servizi di alloggio e ristorazione
 0.0,1,PIEMONTE - VALLE D'AOSTA,1227,"Direttori e dirigenti di banche, assicurazioni e agenzie immobiliari"
 0.0,1,PIEMONTE - VALLE D'AOSTA,1228,Dirigenti generali di aziende di servizi alle imprese e alle persone
 30.0,1,PIEMONTE - VALLE D'AOSTA,1231,Dirigenti del dipartimento finanza e amministrazione
 0.0,1,PIEMONTE - VALLE D'AOSTA,1232,Direttori e dirigenti gestione risorse umane e relazioni industriali
 30.0,1,PIEMONTE - VALLE D'AOSTA,1233,Dirigenti del dipartimento vendite e commercializzazione
 0.0,1,PIEMONTE - VALLE D'AOSTA,1234,"Direttori e dirigenti in comunicazione, pubblicità e public relations"
 0.0,1,PIEMONTE - VALLE D'AOSTA,1235,Direttori e dirigenti dipartimento approvvigionamento e distribuzione
 0.0,1,PIEMONTE - VALLE D'AOSTA,1236,Direttori e dirigenti del dipartimento servizi informatici
 30.0,1,PIEMONTE - VALLE D'AOSTA,1237,Dirigenti del dipartimento ricerca e sviluppo
 10.0,1,PIEMONTE - VALLE D'AOSTA,1314,Responsabili di piccole aziende nel commercio
 0.0,1,PIEMONTE - VALLE D'AOSTA,1315,Responsabili piccole aziende nei servizi di alloggio e ristorazione
 0.0,1,PIEMONTE - VALLE D'AOSTA,1319,Responsabili piccole aziende in altri settori di attività economica
 0.0,1,PIEMONTE - VALLE D'AOSTA,2111,Fisici e astronomi
 50.0,1,PIEMONTE - VALLE D'AOSTA,2112,Chimici e professioni assimilate
 0.0,1,PIEMONTE - VALLE D'AOSTA,2113,"Matematici, statistici e professioni assimilate"
 370.0,1,PIEMONTE - VALLE D'AOSTA,2114,Analisti e progettisti di software
 0.0,1,PIEMONTE - VALLE D'AOSTA,2115,Progettisti e amministratori di sistemi
 0.0,1,PIEMONTE - VALLE D'AOSTA,2116,"Geologi, meteorologi, geofisici e professioni assimilate"
